fundType,companyName,fundName,registeredAt,expiredAt,settlementMonth,manager,support,purpose,industry,baseRate,totalAmount
투자조합,한국투자파트너스,한국투자파트너스 모태자조합 제4호,,,12,,모태펀드,,,,60000000000
투자조합,대성창업투자,대성창업투자 모태자조합 제7호,,,12,,모태펀드,,,,40000000000
투자조합,보광인베스트먼트,보광인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,35000000000
투자조합,에스브이인베스트먼트,에스브이인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,24920000000
투자조합,유티씨인베스트먼트,유티씨인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,15000000000
투자조합,트라이던트앤파트너스,트라이던트앤파트너스 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,포스코기술투자,포스코기술투자 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,엘앤에스벤처캐피탈,엘앤에스벤처캐피탈 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,아이엠엠인베스트먼트,아이엠엠인베스트먼트 모태자조합 제2호,,,12,,모태펀드,,,,10000000000
투자조합,유니온투자파트너스,유니온투자파트너스 모태자조합 제2호,,,12,,모태펀드,,,,15000000000
투자조합,동문파트너즈,동문파트너즈 모태자조합 제1호,,,12,,모태펀드,,,,34000000000
투자조합,윈브릿지캐피탈,윈브릿지캐피탈 모태자조합 제2호,,,12,,모태펀드,,,,18144000000
투자조합,이수창업투자,이수창업투자 모태자조합 제3호,,,12,,모태펀드,,,,15000000000
투자조합,미시간벤처캐피탈,미시간벤처캐피탈 모태자조합 제4호,,,12,,모태펀드,,,,10000000000
투자조합,유니온투자파트너스,유니온투자파트너스 모태자조합 제3호,,,12,,모태펀드,,,,15000000000
투자조합,산은캐피탈,산은캐피탈 모태자조합 제3호,,,12,,모태펀드,,,,30000000000
투자조합,프리미어파트너스,프리미어파트너스 모태자조합 제3호,,,12,,모태펀드,,,,100000000000
투자조합,신한벤처투자,신한벤처투자 모태자조합 제4호,,,12,,모태펀드,,,,30000000000
투자조합,트루윈창업투자,트루윈창업투자 모태자조합 제1호,,,12,,모태펀드,,,,15012000000
투자조합,비에스케이인베스트먼트,비에스케이인베스트먼트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,아이원인베스트,아이원인베스트 모태자조합 제1호,,,12,,모태펀드,,,,10000000000
투자조합,한국투자파트너스,한국투자파트너스 모태자조합 제5호,,,12,,모태펀드,,,,135000000000
투자조합,나우아이비캐피탈,나우아이비캐피탈 모태자조합 제1호,,,12,,모태펀드,,,,30000000000
투자조합,컴퍼니케이파트너스,컴퍼니케이파트너스 모태자조합 제4호,,,12,,모태펀드,,,,10000000000
투자조합,한국벤처투자,한국벤처투자 모태자조합 제1호,,,12,,모태펀드,,,,120000000000
투자조합,키움인베스트먼트,키움인베스트먼트 모태자조합 제4호,,,12,,모태펀드,,,,20000000000
투자조합,아이엠엠인베스트먼트,아이엠엠인베스트먼트 모태자조합 제3호,,,12,,모태펀드,,,,23000000000
투자조합,신한벤처투자,신한벤처투자 모태자조합 제5호,,,12,,모태펀드,,,,63000000000
투자조합,캡스톤파트너스,캡스톤파트너스 모태자조합 제2호,,,12,,모태펀드,,,,50000000000
